approach,run_id,timestamp,input_file,output_file,seed,seconds,restarts,top_k,max_optional_candidates,valid,score,cleaned_count,message,runtime_seconds
lns_tuned,run_0002_20260620-134014,2026-06-20T13:40:14,training\m.txt,outputs\lns_tuned\run_0002_20260620-134014\m_seed011.txt,11,60.0,0,6,50000,True,0.729774,514,valid,74.406
lns_tuned,run_0002_20260620-134014,2026-06-20T13:40:14,training\m.txt,outputs\lns_tuned\run_0002_20260620-134014\m_seed012.txt,12,60.0,0,6,50000,True,0.714728,504,valid,70.390
lns_tuned,run_0002_20260620-134014,2026-06-20T13:40:14,training\m.txt,outputs\lns_tuned\run_0002_20260620-134014\m_seed013.txt,13,60.0,0,6,50000,True,0.721489,505,valid,74.532
