approach,run_id,timestamp,input_file,output_file,seed,seconds,restarts,top_k,max_optional_candidates,valid,score,cleaned_count,message,runtime_seconds
role_grasp,run_0006_20260620-123520,2026-06-20T12:35:20,training\m.txt,outputs\role_grasp\run_0006_20260620-123520\m_seed001.txt,1,60.0,0,4,20000,True,0.719567,504,valid,71.937
role_grasp,run_0006_20260620-123520,2026-06-20T12:35:20,training\m.txt,outputs\role_grasp\run_0006_20260620-123520\m_seed002.txt,2,60.0,0,4,20000,True,0.726531,501,valid,72.235
role_grasp,run_0006_20260620-123520,2026-06-20T12:35:20,training\m.txt,outputs\role_grasp\run_0006_20260620-123520\m_seed003.txt,3,60.0,0,4,20000,True,0.721100,507,valid,74.109
