approach,run_id,timestamp,input_file,output_file,seed,seconds,restarts,top_k,max_optional_candidates,valid,score,cleaned_count,message,runtime_seconds
grasp,run_0001_20260620-110919,2026-06-20T11:09:19,training\train_a.txt,outputs\grasp\run_0001_20260620-110919\train_a.out,1,5.0,0,4,20000,True,0.676441,33,valid,5.000
grasp,run_0001_20260620-110919,2026-06-20T11:09:19,training\train_b.txt,outputs\grasp\run_0001_20260620-110919\train_b.out,1,5.0,0,4,20000,True,0.967738,28,valid,5.000
grasp,run_0001_20260620-110919,2026-06-20T11:09:19,training\train_n.txt,outputs\grasp\run_0001_20260620-110919\train_n.out,1,5.0,0,4,20000,True,0.939696,24,valid,5.000
